Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,534
design__inferred_latch__count,0
design__instance__count,17347
design__instance__area,157540
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.022197751328349113
power__switching__total,0.013403051532804966
power__leakage__total,3.190960740084847E-7
power__total,0.03560112416744232
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.7088484444498229
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.7088484444498229
timing__hold__ws__corner:nom_tt_025C_1v80,0.35616777202324496
timing__setup__ws__corner:nom_tt_025C_1v80,1.9951685313047929
timing__hold__tns__corner:nom_tt_025C_1v80,0
timing__setup__tns__corner:nom_tt_025C_1v80,0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.356168
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.995169
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,641
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,13
clock__skew__worst_hold__corner:nom_ss_100C_1v60,1.2754195838240057
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.2754195838240057
timing__hold__ws__corner:nom_ss_100C_1v60,0.7359331130576775
timing__setup__ws__corner:nom_ss_100C_1v60,-5.914004564571073
timing__hold__tns__corner:nom_ss_100C_1v60,0
timing__setup__tns__corner:nom_ss_100C_1v60,-760.768522156555
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-5.914004564571073
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.735933
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,537
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-5.914005
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,537
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.48990535237425087
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.48990535237425087
timing__hold__ws__corner:nom_ff_n40C_1v95,0.23314045798255373
timing__setup__ws__corner:nom_ff_n40C_1v95,4.9907772660513
timing__hold__tns__corner:nom_ff_n40C_1v95,0
timing__setup__tns__corner:nom_ff_n40C_1v95,0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.23314
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,4.990777
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,907
design__max_fanout_violation__count,0
design__max_cap_violation__count,23
clock__skew__worst_hold,1.3177255215522605
clock__skew__worst_setup,0.470753671590913
timing__hold__ws,0.23200980682229846
timing__setup__ws,-6.1794686672294015
timing__hold__tns,0
timing__setup__tns,-857.228737146809
timing__hold__wns,0
timing__setup__wns,-6.1794686672294015
timing__hold_vio__count,0
timing__hold_r2r__ws,0.23201
timing__hold_r2r_vio__count,0
timing__setup_vio__count,1544
timing__setup_r2r__ws,-6.179469
timing__setup_r2r_vio__count,1544
design__die__bbox,0.0 0.0 612.43 623.15
design__core__bbox,5.52 10.88 606.74 612.0
design__io,41
design__die__area,381636
design__core__area,361405
design__instance__count__stdcell,17347
design__instance__area__stdcell,157540
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.435909
design__instance__utilization__stdcell,0.435909
design__instance__count__class:buffer,32
design__instance__count__class:inverter,222
design__instance__count__class:sequential_cell,2769
design__instance__count__class:multi_input_combinational_cell,8194
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,58338
design__instance__count__class:tap_cell,5129
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,410391
design__violations,0
design__instance__count__class:clock_buffer,404
design__instance__count__class:timing_repair_buffer,222
design__instance__count__class:clock_inverter,264
design__instance__count__setup_buffer,135
design__instance__count__hold_buffer,0
antenna__violating__nets,19
antenna__violating__pins,19
route__antenna_violation__count,19
antenna_diodes_count,111
design__instance__count__class:antenna_cell,111
route__net,11803
route__net__special,2
route__drc_errors__iter:1,7283
route__wirelength__iter:1,542855
route__drc_errors__iter:2,3016
route__wirelength__iter:2,539147
route__drc_errors__iter:3,2923
route__wirelength__iter:3,538104
route__drc_errors__iter:4,257
route__wirelength__iter:4,537388
route__drc_errors__iter:5,3
route__wirelength__iter:5,537341
route__drc_errors__iter:6,0
route__wirelength__iter:6,537343
route__drc_errors,0
route__wirelength,537343
route__vias,103602
route__vias__singlecut,103602
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,3064.82
timing__unannotated_net__count__corner:nom_tt_025C_1v80,309
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,309
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,309
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.6844481841691296
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.6844481841691296
timing__hold__ws__corner:min_tt_025C_1v80,0.3540765558749174
timing__setup__ws__corner:min_tt_025C_1v80,2.15972934538251
timing__hold__tns__corner:min_tt_025C_1v80,0
timing__setup__tns__corner:min_tt_025C_1v80,0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
