Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,7
design__inferred_latch__count,0
design__instance__count,776
design__instance__area,6202.2
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0008751382702030241
power__switching__total,0.0003041979216504842
power__leakage__total,1.1957146384133921E-8
power__total,0.001179348211735487
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.010696888122489577
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.010696888122489577
timing__hold__ws__corner:nom_tt_025C_1v80,0.4722764535345561
timing__setup__ws__corner:nom_tt_025C_1v80,7.920324176250575
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.472276
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.920324
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.017485624554314832
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.017485624554314832
timing__hold__ws__corner:nom_ss_100C_1v60,0.9678358388662225
timing__setup__ws__corner:nom_ss_100C_1v60,5.502696232202708
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.967836
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,5.502696
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.008099049438121663
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.008099049438121663
timing__hold__ws__corner:nom_ff_n40C_1v95,0.2951491357080042
timing__setup__ws__corner:nom_ff_n40C_1v95,8.791127186154098
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.295149
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.791127
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.020418611823720116
clock__skew__worst_setup,0.006908362966111884
timing__hold__ws,0.29367301088829056
timing__setup__ws,5.479206576872566
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.293673
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,5.479207
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 128.475 139.195
design__core__bbox,5.52 10.88 122.82 127.84
design__io,119
design__die__area,17883.1
design__core__area,13719.4
design__instance__count__stdcell,776
design__instance__area__stdcell,6202.2
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.452075
design__instance__utilization__stdcell,0.452075
design__instance__count__class:inverter,11
design__instance__count__class:sequential_cell,116
design__instance__count__class:multi_input_combinational_cell,341
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,2188
design__instance__count__class:tap_cell,180
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,17040.9
design__violations,0
design__instance__count__class:timing_repair_buffer,95
design__instance__count__class:clock_buffer,21
design__instance__count__class:clock_inverter,11
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,1
design__instance__count__class:antenna_cell,1
route__net,645
route__net__special,2
route__drc_errors__iter:1,382
route__wirelength__iter:1,19502
route__drc_errors__iter:2,105
route__wirelength__iter:2,19370
route__drc_errors__iter:3,95
route__wirelength__iter:3,19283
route__drc_errors__iter:4,4
route__wirelength__iter:4,19296
route__drc_errors__iter:5,0
route__wirelength__iter:5,19302
route__drc_errors,0
route__wirelength,19302
route__vias,4217
route__vias__singlecut,4217
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,763.945
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.009234918646740236
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.009234918646740236
timing__hold__ws__corner:min_tt_025C_1v80,0.4694518795465716
timing__setup__ws__corner:min_tt_025C_1v80,7.930264669404995
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.469452
