Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,495
design__inferred_latch__count,0
design__instance__count,11726
design__instance__area,107614
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,184
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.016845164820551872
power__switching__total,0.01287432387471199
power__leakage__total,2.0876390749435814E-7
power__total,0.029719697311520576
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.2666328899805589
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2666328899805589
timing__hold__ws__corner:nom_tt_025C_1v80,0.43973298469368777
timing__setup__ws__corner:nom_tt_025C_1v80,1.7197515009938162
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.439733
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,1.719751
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,577
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,13
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.4810439960302864
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4810439960302864
timing__hold__ws__corner:nom_ss_100C_1v60,0.865957219330893
timing__setup__ws__corner:nom_ss_100C_1v60,-6.790987520093649
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-224.61829654257667
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-6.790987520093649
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.865957
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,147
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-6.790987
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,147
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,168
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.1726489555743134
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.1726489555743134
timing__hold__ws__corner:nom_ff_n40C_1v95,0.28439268411855895
timing__setup__ws__corner:nom_ff_n40C_1v95,4.871712060541795
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.284393
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,4.871712
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,631
design__max_fanout_violation__count,0
design__max_cap_violation__count,15
clock__skew__worst_hold,0.4985888509846402
clock__skew__worst_setup,0.16616691826171487
timing__hold__ws,0.2828323766356222
timing__setup__ws,-7.104165456986128
timing__hold__tns,0.0
timing__setup__tns,-255.51987204901323
timing__hold__wns,0
timing__setup__wns,-7.104165456986128
timing__hold_vio__count,0
timing__hold_r2r__ws,0.282832
timing__hold_r2r_vio__count,0
timing__setup_vio__count,445
timing__setup_r2r__ws,-7.104166
timing__setup_r2r_vio__count,445
design__die__bbox,0.0 0.0 504.69 515.41
design__core__bbox,5.52 10.88 499.1 503.2
design__io,172
design__die__area,260122
design__core__area,242999
design__instance__count__stdcell,11726
design__instance__area__stdcell,107614
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.442859
design__instance__utilization__stdcell,0.442859
design__instance__count__class:buffer,32
design__instance__count__class:inverter,85
design__instance__count__class:sequential_cell,1740
design__instance__count__class:multi_input_combinational_cell,5556
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,38885
design__instance__count__class:tap_cell,3477
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,294687
design__violations,0
design__instance__count__class:timing_repair_buffer,337
design__instance__count__class:clock_buffer,236
design__instance__count__class:clock_inverter,174
design__instance__count__setup_buffer,127
design__instance__count__hold_buffer,0
antenna__violating__nets,11
antenna__violating__pins,11
route__antenna_violation__count,11
antenna_diodes_count,89
design__instance__count__class:antenna_cell,89
route__net,8031
route__net__special,2
route__drc_errors__iter:1,5092
route__wirelength__iter:1,391887
route__drc_errors__iter:2,2287
route__wirelength__iter:2,389711
route__drc_errors__iter:3,2027
route__wirelength__iter:3,389073
route__drc_errors__iter:4,120
route__wirelength__iter:4,388462
route__drc_errors__iter:5,2
route__wirelength__iter:5,388391
route__drc_errors__iter:6,2
route__wirelength__iter:6,388391
route__drc_errors__iter:7,0
route__wirelength__iter:7,388389
route__drc_errors,0
route__wirelength,388389
route__vias,71893
route__vias__singlecut,71893
route__vias__multicut,0
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,3163.53
timing__unannotated_net__count__corner:nom_tt_025C_1v80,198
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,198
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,198
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.256102535316473
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.256102535316473
timing__hold__ws__corner:min_tt_025C_1v80,0.43812993362309416
timing__setup__ws__corner:min_tt_025C_1v80,1.8887487664034068
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
