Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,5
design__inferred_latch__count,0
design__instance__count,992
design__instance__area,8685.83
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0013537027407437563
power__switching__total,0.0005772610893473029
power__leakage__total,1.6928771273683196E-8
power__total,0.0019309807103127241
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.6467015994650501
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.6467015994650501
timing__hold__ws__corner:nom_tt_025C_1v80,0.4636807458123219
timing__setup__ws__corner:nom_tt_025C_1v80,5.684020082158726
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.463681
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,5.684020
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,1.1789909382483945
clock__skew__worst_setup__corner:nom_ss_100C_1v60,1.1789909382483945
timing__hold__ws__corner:nom_ss_100C_1v60,0.9527723324420833
timing__setup__ws__corner:nom_ss_100C_1v60,0.46916960533457736
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.952772
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,0.469170
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.4432589698528921
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4432589698528921
timing__hold__ws__corner:nom_ff_n40C_1v95,0.290944110372159
timing__setup__ws__corner:nom_ff_n40C_1v95,7.388621479330034
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.290944
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.388621
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,1.208437606407941
clock__skew__worst_setup,0.43063454021610936
timing__hold__ws,0.28963218754243136
timing__setup__ws,0.419155388928345
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.289632
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,0.419155
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 153.86 164.58
design__core__bbox,5.52 10.88 148.12 152.32
design__io,88
design__die__area,25322.3
design__core__area,20169.3
design__instance__count__stdcell,992
design__instance__area__stdcell,8685.83
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.430645
design__instance__utilization__stdcell,0.430645
design__instance__count__class:inverter,6
design__instance__count__class:sequential_cell,186
design__instance__count__class:multi_input_combinational_cell,414
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3298
design__instance__count__class:tap_cell,270
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,17572.6
design__violations,0
design__instance__count__class:timing_repair_buffer,79
design__instance__count__class:clock_buffer,19
design__instance__count__class:clock_inverter,13
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,5
route__net,750
route__net__special,2
route__drc_errors__iter:1,310
route__wirelength__iter:1,21236
route__drc_errors__iter:2,77
route__wirelength__iter:2,21178
route__drc_errors__iter:3,30
route__wirelength__iter:3,21097
route__drc_errors__iter:4,0
route__wirelength__iter:4,21088
route__drc_errors,0
route__wirelength,21088
route__vias,5180
route__vias__singlecut,5180
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,525.66
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.6306642053761663
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.6306642053761663
timing__hold__ws__corner:min_tt_025C_1v80,0.4618619228907899
timing__setup__ws__corner:min_tt_025C_1v80,5.716109525280833
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.461862
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
