Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,12
design__inferred_latch__count,0
design__instance__count,1141
design__instance__area,9499.11
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0014674569247290492
power__switching__total,0.0007644410943612456
power__leakage__total,1.957817552522556E-8
power__total,0.0022319175768643618
clock__skew__worst_hold__corner:nom_tt_025C_1v80,0.46688498832989034
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.46688498832989034
timing__hold__ws__corner:nom_tt_025C_1v80,0.37294576815722624
timing__setup__ws__corner:nom_tt_025C_1v80,6.109652512395918
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.372946
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.109653
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,0
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,0.8941417304091982
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.8941417304091982
timing__hold__ws__corner:nom_ss_100C_1v60,0.7822451796612909
timing__setup__ws__corner:nom_ss_100C_1v60,1.3106884837339554
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.782245
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.310688
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,0.30901712618983995
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.30901712618983995
timing__hold__ws__corner:nom_ff_n40C_1v95,0.23904634504022837
timing__setup__ws__corner:nom_ff_n40C_1v95,7.6872288488352485
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.239046
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.687229
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,0
design__max_cap_violation__count,0
clock__skew__worst_hold,0.9025773162111773
clock__skew__worst_setup,0.3052629346814698
timing__hold__ws,0.2382690778787057
timing__setup__ws,1.2497168098539846
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.238269
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.249717
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 162.41 173.13
design__core__bbox,5.52 10.88 156.86 160.48
design__io,87
design__die__area,28118
design__core__area,22640.5
design__instance__count__stdcell,1141
design__instance__area__stdcell,9499.11
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__utilization,0.419563
design__instance__utilization__stdcell,0.419563
design__instance__count__class:inverter,13
design__instance__count__class:sequential_cell,192
design__instance__count__class:multi_input_combinational_cell,508
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,3763
design__instance__count__class:tap_cell,313
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,18624.9
design__violations,0
design__instance__count__class:timing_repair_buffer,78
design__instance__count__class:clock_buffer,19
design__instance__count__class:clock_inverter,13
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,5
design__instance__count__class:antenna_cell,5
route__net,856
route__net__special,2
route__drc_errors__iter:1,447
route__wirelength__iter:1,23070
route__drc_errors__iter:2,150
route__wirelength__iter:2,22854
route__drc_errors__iter:3,114
route__wirelength__iter:3,22837
route__drc_errors__iter:4,8
route__wirelength__iter:4,22872
route__drc_errors__iter:5,0
route__wirelength__iter:5,22853
route__drc_errors,0
route__wirelength,22853
route__vias,6328
route__vias__singlecut,6328
route__vias__multicut,0
design__disconnected_pin__count,6
design__critical_disconnected_pin__count,0
route__wirelength__max,700.175
timing__unannotated_net__count__corner:nom_tt_025C_1v80,21
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,21
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,0.4618825452840556
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4618825452840556
timing__hold__ws__corner:min_tt_025C_1v80,0.37187765031060155
timing__setup__ws__corner:min_tt_025C_1v80,6.140457205397594
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.371878
